(11300+7.105427357601002e-15j),(18478-1.2079226507921703e-13j),(56216+7.958078640513122e-13j),(59634+1.9895196601282805e-13j)
(-9.806457653079985+10.92806708297368j),(22.04644250891232-49.66079819418613j),(-55.93247780150189-131.91951315950084j),(453.7578475890906-12.337979942946816j)
(42.17957318663011+86.24728670155905j),(1.4405667675960023-4.768347657353944j),(-30.248246689688273-275.90774373788787j),(527.5529603105324+303.0579235174831j)
(43.08952029230302-63.796693678511716j),(34.444054098513206-6.340873759355723j),(4.247460672512489+162.26513701340943j),(359.985412610758-281.91077361280736j)
(-30.04264379533504-52.618900421726266j),(18.09684036518824+43.1131157672126j),(12.268894340534303+106.53782356602302j),(143.16119690528214+38.263262266241945j)
(30.39107449159961-24.033050789089824j),(24.19594892202025+0.23319110539399646j),(-158.27372349859783+21.027458258241477j),(253.54088254916417-253.2628624921113j)
(5.782245186405225-48.45906611026544j),(3.2713511893972793-61.10489389388787j),(20.752879604844097-130.3070641550873j),(533.2690515953409-291.3860623022506j)
(7.987127454188586-1.2839432955884353j),(84.69924474034764+15.383055965094137j),(-10.186598876108384+74.3021839614934j),(339.12647055659903-52.44066262949977j)
(29.084590025409096-19.484840689350904j),(1.6479203709835204+79.3826808395835j),(50.4853407300713+113.9094697915398j),(152.21949649061582+128.8567582104259j)
(28.701284455073143+24.529232870016788j),(-23.420454432926007+51.580992310867984j),(184.66298099764208-462.6846152227287j),(712.2003806177046-680.3504311184321j)
(-72.68236524247133+18.169100608722463j),(15.149214658267258-33.96413715883443j),(-294.5127096638306+69.85571879393365j),(188.76924341059853+28.023071874751604j)
(1.5494582116150213+10.180618430944758j),(-19.02888255883521-20.905354043353125j),(-145.66107470104606+17.11167290628213j),(255.19027246509225+111.68407188122403j)
