(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(-110.7964914396961+15.93981912570128j),(-109.96932230923545-43.824641992816474j),(18.333853845029676-1.920616354105344j),(92.01261829501118+22.64733980935601j)
(-39.61347645533137-4.459858223439062j),(-121.364403909857+23.854296339182095j),(41.35670629397061+19.156440420265902j),(74.29947322002391-22.245109973923892j)
(27.157771046157812+18.581851354715234j),(81.49011450141873+33.22177206971999j),(36.26582329569624-31.51090790812791j),(0.7000096798121653-32.57891899462301j)
(-13.631708404988215+45.83088589854763j),(-45.05322612589522+56.8556907017866j),(55.94008083968996-7.520214064991002j),(45.54844085966945-86.4090037501192j)
(-96.30298498333306+81.84103068030984j),(-78.32617170461768+124.98847181098486j),(46.62519164876014-33.73591348500173j),(72.84991639272579-71.23912318011172j)
(-17.059296394574538+0.48490835889997896j),(-36.202322687676364+46.24260647519371j),(28.71254159821388-19.90623705769864j),(55.71498337300605-51.830622494110244j)
(16.877500898784287-30.89195233410763j),(54.784046278551436-52.00644275582849j),(0.9958639766280316-4.140830358929262j),(-5.178443474988832-39.2706968298776j)
(-11.346726772154176+39.15176190546081j),(-33.038261051623145+35.24918610411787j),(11.62021565781627-38.057265698619126j),(27.07895739143595-52.68670730329918j)
(-18.375073468424645+63.875298607068395j),(-41.47495990421562+55.42378495294875j),(51.62815810503403-21.719184337109617j),(19.11592482457113-49.89378037021451j)
(-33.0720951557169-68.40817361041131j),(-79.67874818384878-96.19432148305359j),(29.69682497216719+5.807696700672131j),(31.613368415177074-9.60367671717421j)
(-34.14452037745715-56.95382505858929j),(-100.0931390374355-110.21842746547665j),(69.10874441049961+73.43230110199711j),(70.80948549657172+72.43784721586005j)
(-6.67708748872548-6.274216354886374j),(33.714053362238595-40.2688175236753j),(29.02586397694477+18.069351921939607j),(26.735311674670747+48.613683481398304j)
(7.824999350136593-16.525216213610037j),(-19.82709307815292-37.961860889954956j),(26.30428889747118+19.117608727429772j),(42.74774307408622+19.954079941527752j)
(-110.7874673741011-44.92192477913285j),(-179.5578017576326-48.801804245904506j),(85.43420135865705-20.12967702627968j),(109.5488617060195+13.88106787098868j)
(-86.11136477235448-25.936324282046872j),(-160.0877182924358-49.10720777946184j),(63.58714840832017-7.412330699293822j),(88.87875143292769+14.486657651799034j)
(-12.826963192487145-44.61823498103114j),(-4.643879700199797-80.53338389534613j),(-5.987209472186279-5.506535290623707j),(34.41108835746223+26.3511637830265j)
(-47.10056920885671-10.456446125756603j),(-79.01626551643503-38.80923945012488j),(64.84396625559259-21.32811334058909j),(39.61133299293646-23.54111338884653j)
(-73.12370781501956+46.48796447582413j),(-67.99506925064307+55.01589481101038j),(75.37855396981475-8.113648692231516j),(47.71874830067822+19.689082211809005j)
(-69.43335586805644-41.68852943814841j),(-25.586605350905614-39.253425096046655j),(30.307041364031704+8.875072141315949j),(37.67400288691673+23.23417022898589j)
(-12.202573863749379-75.8478200590514j),(-17.391349417186728-64.89975797049445j),(29.50383219534981-20.529613329451866j),(43.85731921971032+56.11432550854528j)
