sex;age;bmi;avg4;max4;min4;avg3;max3;min3;avg2;max2;min2;avg1;max1;min1;emotion
0;21;1;33.72;129.0;14.0;164.75;183.0;144.0;536.9583333333334;592.0;473.0;558.8333333333334;661.0;293.0;3
0;21;1;37.0;48.0;25.0;93.75;106.0;83.0;688.0;784.0;627.0;792.3333333333334;960.0;460.0;6
1;23;1;40.2;48.0;32.0;98.25;115.0;87.0;646.75;721.0;591.0;710.5;823.0;378.0;6
0;21;1;40.2;48.0;32.0;98.25;115.0;87.0;646.75;721.0;591.0;710.5;823.0;378.0;7
0;21;1;40.47368421052632;478.0;0.0;100.21052631578948;478.0;51.0;560.0555555555555;735.0;410.0;637.0;870.0;209.0;1
1;23;1;40.47368421052632;478.0;0.0;100.21052631578948;478.0;51.0;560.0555555555555;735.0;410.0;637.0;870.0;209.0;2
0;21;1;40.47368421052632;478.0;0.0;100.21052631578948;478.0;51.0;560.0555555555555;735.0;410.0;637.0;870.0;209.0;5
0;21;1;44.0;68.0;31.0;117.0;134.0;103.0;608.8888888888889;746.0;483.0;772.4444444444445;889.0;417.0;2
0;21;1;45.16666666666666;85.0;17.0;102.0;137.0;80.0;574.4166666666666;739.0;470.0;775.8333333333334;942.0;401.0;0
0;23;1;49.0;144.0;26.0;188.8571428571429;196.0;182.0;538.7142857142857;593.0;474.0;538.0;663.0;291.0;6
0;21;1;49.57142857142857;64.0;33.0;95.5;105.0;85.0;657.8571428571429;771.0;561.0;850.0;1007.0;474.0;2
0;21;1;49.57142857142857;64.0;33.0;95.5;105.0;85.0;657.8571428571429;771.0;561.0;850.0;1007.0;474.0;2
1;23;1;49.57142857142857;64.0;33.0;95.5;105.0;85.0;657.8571428571429;771.0;561.0;850.0;1007.0;474.0;3
0;21;1;52.71428571428572;65.0;42.0;79.5;97.0;72.0;748.7142857142857;848.0;695.0;811.8571428571429;1009.0;416.0;0
0;21;1;52.71428571428572;65.0;42.0;79.5;97.0;72.0;748.7142857142857;848.0;695.0;811.8571428571429;1009.0;416.0;3
1;23;1;52.71428571428572;65.0;42.0;79.5;97.0;72.0;748.7142857142857;848.0;695.0;811.8571428571429;1009.0;416.0;5
0;21;1;53.833333333333336;133.0;3.0;151.08333333333334;189.0;100.0;572.1666666666666;720.0;499.0;830.5;965.0;458.0;2
0;23;1;59.0;144.0;40.0;189.28571428571428;199.0;176.0;543.1666666666666;598.0;481.0;528.6666666666666;662.0;299.0;5
0;21;1;59.0;144.0;40.0;189.28571428571428;199.0;176.0;543.1666666666666;598.0;481.0;528.6666666666666;662.0;299.0;7
0;21;1;59.36363636363637;112.0;42.0;164.8181818181818;189.0;144.0;447.8333333333333;493.0;396.0;459.6363636363636;559.0;220.0;1
0;23;1;59.6;142.0;36.0;175.4;193.0;123.0;543.1666666666666;596.0;483.0;515.2;664.0;294.0;0
0;23;1;59.81818181818182;149.0;47.0;194.0;203.0;181.0;539.8333333333334;594.0;477.0;561.6363636363636;662.0;295.0;4
0;21;1;59.81818181818182;149.0;47.0;194.0;203.0;181.0;539.8333333333334;594.0;477.0;561.6363636363636;662.0;295.0;4
0;23;1;60.66666666666666;106.0;29.0;170.33333333333334;192.0;158.0;526.3333333333334;592.0;465.0;477.0;656.0;298.0;6
0;21;1;60.66666666666666;106.0;29.0;170.33333333333334;192.0;158.0;526.3333333333334;592.0;465.0;477.0;656.0;298.0;6
0;23;1;61.56666666666667;153.0;48.0;200.56666666666663;209.0;189.0;536.3;592.0;470.0;563.1666666666666;662.0;293.0;7
0;21;1;63.35714285714285;95.0;48.0;114.21428571428572;146.0;97.0;526.6428571428571;657.0;445.0;795.2857142857143;960.0;443.0;1
0;21;1;67.18181818181819;131.0;49.0;177.36363636363637;197.0;155.0;537.0;609.0;501.0;544.4;689.0;271.0;4
0;21;1;68.0;103.0;30.0;124.25;167.0;77.0;542.0;600.0;487.0;575.25;669.0;299.0;1
0;21;1;68.75;122.0;38.0;173.75;187.0;161.0;525.6;589.0;470.0;564.25;657.0;291.0;0
0;23;1;68.75;122.0;38.0;173.75;187.0;161.0;525.6;589.0;470.0;564.25;657.0;291.0;1
0;23;1;70.0;135.0;37.0;189.25;197.0;182.0;535.0;595.0;482.0;538.3333333333334;662.0;294.0;3
0;21;1;70.83333333333333;87.0;48.0;155.0;176.0;135.0;551.7142857142857;608.0;490.0;547.8333333333334;679.0;293.0;7
0;21;1;72.44444444444444;107.0;39.0;142.88888888888889;191.0;105.0;534.4444444444445;593.0;469.0;534.3333333333334;654.0;294.0;2
0;21;1;72.71428571428571;138.0;48.0;171.66666666666666;186.0;156.0;526.6666666666666;594.0;464.0;534.6666666666666;657.0;293.0;4
0;23;1;72.71428571428571;138.0;48.0;171.66666666666666;186.0;156.0;526.6666666666666;594.0;464.0;534.6666666666666;657.0;293.0;5
