(7890-4.973799150320701e-14j),(15985+3.979039320256561e-13j),(57629-6.536993168992922e-13j),(60919+1.3642420526593924e-12j)
(56.43948845674759+35.6817695585508j),(-26.541024075492835+2.783781929171699j),(-39.77665662564249+279.55957259879403j),(165.15733859678664-1056.5263764462154j)
(-12.275637587804816+91.6188282575834j),(-42.10778625120765+24.225787456753594j),(-74.45323794473842+68.85776678077215j),(384.96252909166856-164.8301077752496j)
(16.81489531150442-40.79883133608546j),(-32.29184464265714+19.27102133776346j),(128.85889602361706+437.3939743665995j),(97.93728658023304-450.6163270154521j)
(-36.99129370227356-47.2104920456527j),(-30.529797527679584-4.981376767815984j),(158.07286473769733+317.32219556703126j),(39.11353502664522+80.80151572456766j)
(11.147757553746587+25.134986291292208j),(-0.10460594928946065-7.839512934227379j),(216.72113058480406+110.06946567581073j),(621.4574866453167+601.8941937706259j)
(-20.727802395788068+46.11431685504587j),(10.044095289353523-18.015971884071607j),(164.31532773299762+240.65564980671968j),(415.84258902784507+359.32925849658767j)
(-30.867092550994062+8.932248183917682j),(-2.622314566305466+34.136489839566835j),(228.22368924694632+133.03151720507563j),(798.2066287084755+512.077265842538j)
(-126.08802973922862+34.93104223460951j),(-18.79563409252893+12.422910612441008j),(93.40008240178247+112.86955997411755j),(1048.872636934125+416.7695919547241j)
(96.78064356006894-17.192389102079243j),(1.2995966739744427+15.369997542132253j),(13.38611723422946+402.3397052534148j),(-82.41550663913358-573.2519407261541j)
(53.196833781938395+62.32934327962555j),(-22.117565931372006+11.229976360350399j),(-37.94875995409783+297.35872851547936j),(65.01367088294936-293.2334041291681j)
(55.62636371498884+23.069339317871815j),(-38.40029749701006+10.418389927100792j),(-59.28555786628853+254.3832015875767j),(-77.3580347743171-112.3053545927266j)
(96.66349293089336+154.46503042553894j),(-13.569123739646173+14.317992868604662j),(-244.3625319114783+206.37794169465587j),(460.2215811295613+372.3828989255747j)
(8.823621589500645-8.344757454945006j),(-17.70142726923634+1.6149259936957643j),(177.9437990568147+482.2568584440505j),(145.60782212759952+232.36491092309763j)
(-38.04593390615113+24.370642798556002j),(-1.5881067036041805-6.090065094023371j),(86.8852209073558+328.43065606183956j),(-114.49597581401308+411.95268151594746j)
(-19.05519714251631+74.49631402469339j),(-12.93182825556617+0.9057030292144808j),(121.4364622939316+590.503912217348j),(649.193515343055+1014.628851778331j)
(36.45445742784486+0.4360873437172046j),(-25.315408220877213+29.497527828349497j),(221.3414272787214+468.3211596234354j),(627.9895649859253+766.162972671381j)
(-83.1012796692626+75.8017786587872j),(-17.57561295649139+18.531828304595578j),(30.12633530837411+603.4310186294944j),(541.6625945357016+1021.2567339492402j)
(-11.616907166586643+211.49171402356035j),(-8.328751593924007-9.408540174344006j),(204.80476497465574+813.922246671939j),(903.4187016057408+1363.303574096589j)
(13.33144545392532+82.51192879593694j),(-2.620557467824124+14.717964298720855j),(344.94933634874184+1187.8180618671543j),(907.8299494199646+1455.8036955056239j)
(-89.73823049299395+79.42247150563907j),(-21.730753963826963+22.151709558183793j),(-146.49564413331802+869.9902206937073j),(-610.2741182190991+1311.2523998234024j)
(544.4461257655472+542.8349115182087j),(-31.82841953689764+21.882409700341213j),(2591.0163021558296+5848.729301449399j),(4654.15643101692+8034.562262192429j)
