(20915+1.1013412404281553e-12j),(24288+9.023892744153272e-13j),(33609+1.8260948309034575e-12j),(34862+1.9468870959826745e-12j)
(3.6006619926202097+2.614617810241206j),(-24.168417425911663+1.1789022315532467j),(1.9967248146474468+33.44550330383743j),(-13.619648234077491+25.346361513330834j)
(24.380241226249538-11.659618005678038j),(3.512741194290441-14.861698885256667j),(-4.877877204239979+14.950009828076498j),(-9.490481927020834-6.987522385443631j)
(3.906909624111656-4.5093861535834145j),(-19.45476419606271-0.2509680743312619j),(10.63454320491863+18.706364204691134j),(19.248272454602667+27.09056571920672j)
(4.8675524258958776-6.775786732990843j),(-3.6350455048360644+6.678079636604867j),(-27.90539587485882+11.978818289472004j),(-20.70585318628215+1.102983262113967j)
(-9.583615112424019+8.986398909414103j),(-35.05377542168834+17.5001901018836j),(-12.817364339930137+17.640426295143122j),(-6.41259238228322+23.380361323494128j)
(-21.328900279642983+12.038363879487928j),(1.1905126629168503+33.09685240038173j),(-3.0318274356822843+6.622389877652055j),(-31.6824443559402+27.903414287018748j)
(-22.207084411890566-15.975451864061663j),(-23.46127016702118-8.49808932459094j),(-2.2360600942841473+15.555780662771092j),(-23.65066348267327+6.495104919123896j)
(-2.894037112555635-12.420941480098852j),(-26.298490880656715+11.510933617792777j),(-10.238954109487503+24.21226646958035j),(-27.235940721906182+12.436558741250858j)
(22.118429843853512+13.142672170853157j),(43.03408386217755-11.568607324948228j),(-15.493576858122394+24.74664831656446j),(5.254593091210568+5.492306730655142j)
(17.464078607329924+8.531878874977515j),(6.075814960260413-22.768566507883826j),(-2.403162149202478+21.204322533734363j),(-23.539450504742575+3.513587846344239j)
(-13.825126636826543-15.540659411541832j),(9.024120959679966+3.921314982542791j),(12.849046354876176+20.42233568302054j),(-18.75340134570857-0.40609540539655953j)
(-38.46876284621626-30.621592548939226j),(-6.5958912388831-4.206237644923827j),(-18.1619906770732+18.500108707366742j),(-21.93589262521786+15.836790199067043j)
(-8.015907994292396-31.91316078620487j),(15.863946204057362+0.838108698641427j),(7.359740252761392-0.4834082854486228j),(11.708159222878264-6.188847279998463j)
(-13.410125489110143-2.660888746559166j),(-9.203960773580802-4.514526619562378j),(-14.31338676513591+11.23639590252616j),(6.214589162808341+19.22246444496277j)
(-9.189098947281794+24.034342159585815j),(-43.141130348538674+6.42122092207515j),(3.8406127130409535+17.56368188371531j),(4.636648024260929+15.440609927993808j)
(-29.57486985063376+24.45100330215249j),(-19.487909783987938+25.0442746591359j),(0.6603042565493276+22.34712601009532j),(-12.12014498895993+52.920017656628815j)
(-21.93338352077168+1.8401457349061894j),(-2.6372068559783806-14.169636373418225j),(27.67649947764797+23.767323464900734j),(2.9797755520525335+32.00475445831978j)
(-11.758541434939808-18.821743692400222j),(-14.305918959585103+6.431420773180568j),(-11.427735292835536+18.738895102566616j),(-9.52373641735588+9.326512404104706j)
(-5.544524704857889+5.143719948003834j),(12.585383897637337+25.322291267865165j),(-13.969618692375805+11.546200740873202j),(17.04316517165171+31.390419494378538j)
(-1.982253819904459-30.946440138651536j),(9.076378398176274+8.111343182709001j),(-1.4507787768640326-4.4507366857480735j),(0.5406409202417826+7.838256906489109j)
(-21.87403360511012-8.940726878267029j),(1.0295152461856985+24.494611869528146j),(30.3439380968061+43.459713552294716j),(24.018898584389763+69.3879573277622j)
(-4.996290813292413+9.898849780463808j),(-12.075817246473946+4.579971934813128j),(-9.032197451761887+35.909783616480865j),(-12.363852860905235+31.526281961276744j)
(-60.03306475608726-4.8358416022650434j),(-30.479571488548636-3.6549033064426597j),(-34.000611084409165+67.12153581212496j),(-8.901048509437242+66.35656168757947j)
(-15.641971649283741-15.711855156791227j),(-5.179912040299902-48.93797512055054j),(-1.3390901017461996+38.49530832305098j),(-0.45376394480398297+44.05760416709237j)
(7.6595441423373085-13.33565165963309j),(-0.1679715934694812-34.17294342117209j),(-30.856268848196066+48.71848177586211j),(-29.15695278979903+55.64278316178114j)
(5.4625503884907545+1.9275000254060928j),(3.006725903702284+2.1921958541746944j),(-22.75039811704247+32.707680109710644j),(-11.782104574763643+41.17501961955452j)
(-11.982989768412684-2.416155436940214j),(26.39022004147004-19.900781143075676j),(-59.51778061198135+43.26568076779569j),(-37.98350322958427+60.25184761224115j)
(-20.100230578162016-3.480898146956637j),(-42.60272183192657+21.725319200885373j),(15.716721716113229+33.494192510516655j),(-7.228635091645649+25.3531199627739j)
(-14.165014497411931+0.014760219644046835j),(2.533775407314392+10.161301211980938j),(-48.024804105024515+49.94997156186973j),(-95.48470153570133+37.57024662242064j)
(-30.752853682228054-14.369781995613103j),(-41.81621452273893+19.516486638445347j),(-20.11347250445614+3.347295818616673j),(-25.420736456754277+36.14804123813526j)
(13.314464790394819-11.807447278659184j),(26.82583832852251-5.8337326853561935j),(-99.1404209964167+48.92962863711776j),(-107.6757116437779+45.16747360153717j)
(-5.212915395493936+57.16683333940239j),(-7.766450836379592+4.4129342174998065j),(-29.17442120459492+20.310934167681033j),(-19.76185386938196-42.109300233003644j)
(-1.6693815071054434+24.782324203529665j),(5.119543451278695+39.92949040546786j),(-55.132141558227936+28.409865051277784j),(-76.85754835347703+5.14725532193717j)
